"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"MX1","1","ESC","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX2","1","Q","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX3","1","W","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX4","1","E","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX5","1","R","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX6","1","T","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX7","1","Y","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX8","1","U","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX9","1","I","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX10","1","O","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX11","1","P","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX12","1","BS","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX13","1","Caps","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1.25u","~"
"MX14","1","A","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX15","1","S","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX16","1","D","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX17","1","F","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX18","1","G","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX19","1","H","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX20","1","J","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX21","1","K","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX22","1","L","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX23","1","\","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1.75u","~"
"MX25","1","Shift","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1.75u","~"
"MX26","1","Z","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX27","1","X","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX28","1","C","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX29","1","V","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX30","1","B","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX31","1","N","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX32","1","M","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX33","1",",","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX34","1",".","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX35","1","Shift","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1.25u","~"
"MX37,MX44","2","Ctrl","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1.25u","~"
"MX38,MX43","2","Super","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","~"
"MX39","1","Alt","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1.25u","~"
"MX40","1","Space","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_2.25u","~"
"MX41","1","Space","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_2.75u","~"
"MX42","1","Fn","","","","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1.25u","~"
