Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C4, C7",0402,6,4u7,C23733
"C12, C13",0402,2,12p,C1547
"C3, C5, C8, C9",0402,4,1u,C52923
C6,0402,1,100n,C307331
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D37, D38, D39, D4, D40, D41, D42, D43, D44, D5, D6, D7, D8, D9",D_SOD-323,42,1N4148WS,C2128
J2,Molex_Pico-EZmate_78171-0002_1x02-1MP_P1.20mm_Vertical,1,78171-0002,C505023
J4,PinHeader_1x04_P2.54mm_Vertical,1,SWD,
J5,PinHeader_1x04_P2.54mm_Vertical,1,UART,
J6,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,1,78171-0004,C588524
L2,0603,1,10 uH,C92982
LED1,LED_1206R,1,IND,C2802677
MX1,SW_MX_HS_CPG151101S11_1u,1,ESC,C5184526
MX10,SW_MX_HS_CPG151101S11_1u,1,O,C5184526
MX11,SW_MX_HS_CPG151101S11_1u,1,P,C5184526
MX12,SW_MX_HS_CPG151101S11_1u,1,BS,C5184526
MX13,SW_MX_HS_CPG151101S11_1.25u,1,Caps,C5184526
MX14,SW_MX_HS_CPG151101S11_1u,1,A,C5184526
MX15,SW_MX_HS_CPG151101S11_1u,1,S,C5184526
MX16,SW_MX_HS_CPG151101S11_1u,1,D,C5184526
MX17,SW_MX_HS_CPG151101S11_1u,1,F,C5184526
MX18,SW_MX_HS_CPG151101S11_1u,1,G,C5184526
MX19,SW_MX_HS_CPG151101S11_1u,1,H,C5184526
MX2,SW_MX_HS_CPG151101S11_1u,1,Q,C5184526
MX20,SW_MX_HS_CPG151101S11_1u,1,J,C5184526
MX21,SW_MX_HS_CPG151101S11_1u,1,K,C5184526
MX22,SW_MX_HS_CPG151101S11_1u,1,L,C5184526
MX23,SW_MX_HS_CPG151101S11_1.75u,1,\,C5184526
MX25,SW_MX_HS_CPG151101S11_1.75u,1,Shift,C5184526
MX26,SW_MX_HS_CPG151101S11_1u,1,Z,C5184526
MX27,SW_MX_HS_CPG151101S11_1u,1,X,C5184526
MX28,SW_MX_HS_CPG151101S11_1u,1,C,C5184526
MX29,SW_MX_HS_CPG151101S11_1u,1,V,C5184526
MX3,SW_MX_HS_CPG151101S11_1u,1,W,C5184526
MX30,SW_MX_HS_CPG151101S11_1u,1,B,C5184526
MX31,SW_MX_HS_CPG151101S11_1u,1,N,C5184526
MX32,SW_MX_HS_CPG151101S11_1u,1,M,C5184526
MX33,SW_MX_HS_CPG151101S11_1u,1,",",C5184526
MX34,SW_MX_HS_CPG151101S11_1u,1,.,C5184526
MX35,SW_MX_HS_CPG151101S11_1.25u,1,Shift,C5184526
"MX37, MX44",SW_MX_HS_CPG151101S11_1.25u,2,Ctrl,C5184526
"MX38, MX43",SW_MX_HS_CPG151101S11_1u,2,Super,C5184526
MX39,SW_MX_HS_CPG151101S11_1.25u,1,Alt,C5184526
MX4,SW_MX_HS_CPG151101S11_1u,1,E,C5184526
MX40,SW_MX_HS_CPG151101S11_2.25u,1,Space,C5184526
MX41,SW_MX_HS_CPG151101S11_2.75u,1,Space,C5184526
MX42,SW_MX_HS_CPG151101S11_1.25u,1,Fn,C5184526
MX5,SW_MX_HS_CPG151101S11_1u,1,R,C5184526
MX6,SW_MX_HS_CPG151101S11_1u,1,T,C5184526
MX7,SW_MX_HS_CPG151101S11_1u,1,Y,C5184526
MX8,SW_MX_HS_CPG151101S11_1u,1,U,C5184526
MX9,SW_MX_HS_CPG151101S11_1u,1,I,C5184526
R1,0402,1,470k,C23164
"R10, R11, R9",0402,3,1k,C11702
R12,0402,1,100k,C25744
R3,0402,1,10k,C25197
R4,0402,1,47k,C25792
R5,0402,1,1k5,C25867
R6,0402,1,2k2,C25879
"R7, R8",0402,2,10k,C25744
SW1,SW_T1A2QR,1,RST,C100056
SW2,SW_T1A2QR,1,FRST,C100056
SW3,SW_T1A2QR,1,DFU,C100056
SW4,SW_SP3T_PCM13,1,SW_SP3T,
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075,C15464
U3,DFN-8-1EP_2x2mm_P0.5mm_EP0.7x1.3mm,1,MAX17048,C2682616
U4,nRF52840_E73-2G4M08S1C,1,nRF52840_E73-2G4M08S1C,C356849
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768 KHz,C20148
