Designator,Mid X,Mid Y,Rotation,Layer
C1,661.67,-68.656,270.0,bottom
C10,660.141,-78.127,180.0,bottom
C11,654.68,-72.412,0.0,bottom
C12,647.3125,-70.34825,90.0,bottom
C13,648.7095,-70.37625,90.0,bottom
C2,662.94,-68.656,270.0,bottom
C3,664.21,-68.656,270.0,bottom
C4,666.4725,-74.808,180.0,bottom
C5,662.963,-72.621,270.0,bottom
C6,673.56425,-66.905,270.0,bottom
C7,669.059,-73.101,270.0,bottom
C8,669.059,-70.871,90.0,bottom
C9,652.775,-72.412,180.0,bottom
D1,543.02025,-28.702,90.0,bottom
D10,714.47025,-28.702,90.0,bottom
D11,733.52025,-28.702,90.0,bottom
D12,752.57025,-28.702,90.0,bottom
D13,545.4015,-47.752,90.0,bottom
D14,566.801,-47.752,90.0,bottom
D15,585.88275,-47.752,90.0,bottom
D16,604.93275,-47.752,90.0,bottom
D17,623.98275,-47.752,90.0,bottom
D18,643.03275,-47.752,90.0,bottom
D19,662.08275,-47.752,90.0,bottom
D2,562.07025,-28.702,90.0,bottom
D20,681.13275,-47.752,90.0,bottom
D21,700.18275,-47.752,90.0,bottom
D22,719.23275,-47.752,90.0,bottom
D23,745.4265,-47.752,90.0,bottom
D25,549.24325,-56.834,270.0,bottom
D26,575.437,-56.834,270.0,bottom
D27,594.487,-56.834,270.0,bottom
D28,613.537,-56.834,270.0,bottom
D29,632.46,-56.831,270.0,bottom
D3,581.12025,-28.702,90.0,bottom
D30,651.51,-56.769,270.0,bottom
D31,670.687,-56.769,270.0,bottom
D32,689.737,-56.834,270.0,bottom
D33,708.787,-56.834,270.0,bottom
D34,727.837,-56.834,270.0,bottom
D35,749.173,-56.834,270.0,bottom
D37,545.4015,-85.852,90.0,bottom
D38,566.83275,-85.852,90.0,bottom
D39,588.264,-85.852,90.0,bottom
D4,600.17025,-28.702,90.0,bottom
D40,621.6015,-85.852,90.0,bottom
D41,668.528,-76.2,270.0,bottom
D42,706.628,-76.2,270.0,bottom
D43,728.05925,-76.2,270.0,bottom
D44,749.4905,-76.2,270.0,bottom
D5,619.22025,-28.702,90.0,bottom
D6,638.27025,-28.702,90.0,bottom
D7,657.32025,-28.702,90.0,bottom
D8,676.37025,-28.702,90.0,bottom
D9,695.42025,-28.702,90.0,bottom
J2,674.37,-72.517,270.0,bottom
J4,678.053,-90.17,270.0,bottom
J5,631.317,-90.17,90.0,bottom
J6,691.007,-82.931,270.0,bottom
L2,655.0865,-71.0405,0.0,bottom
LED1,611.378,-90.678,0.0,top
MX1,550.06875,-25.4,0.0,bottom
MX10,721.51875,-25.4,0.0,bottom
MX11,740.56875,-25.4,0.0,bottom
MX12,759.61875,-25.4,0.0,bottom
MX13,552.45,-44.45,0.0,bottom
MX14,573.88125,-44.45,0.0,bottom
MX15,592.93125,-44.45,0.0,bottom
MX16,611.98125,-44.45,0.0,bottom
MX17,631.03125,-44.45,0.0,bottom
MX18,650.08125,-44.45,0.0,bottom
MX19,669.13125,-44.45,0.0,bottom
MX2,569.11875,-25.4,0.0,bottom
MX20,688.18125,-44.45,0.0,bottom
MX21,707.23125,-44.45,0.0,bottom
MX22,726.28125,-44.45,0.0,bottom
MX23,752.475,-44.45,0.0,bottom
MX25,557.2125,-63.5,0.0,bottom
MX26,583.40625,-63.5,0.0,bottom
MX27,602.45625,-63.5,0.0,bottom
MX28,621.50625,-63.5,0.0,bottom
MX29,640.42925,-63.5,0.0,bottom
MX3,588.16875,-25.4,0.0,bottom
MX30,659.47925,-63.5,0.0,bottom
MX31,678.65625,-63.5,0.0,bottom
MX32,697.70625,-63.5,0.0,bottom
MX33,716.75625,-63.5,0.0,bottom
MX34,735.80625,-63.5,0.0,bottom
MX35,757.2375,-63.5,0.0,bottom
MX37,552.45,-82.55,0.0,bottom
MX38,573.88125,-82.55,0.0,bottom
MX39,595.3125,-82.55,0.0,bottom
MX4,607.21875,-25.4,0.0,bottom
MX40,628.65,-82.55,0.0,bottom
MX41,676.529,-82.55,0.0,bottom
MX42,714.375,-82.55,0.0,bottom
MX43,735.80625,-82.55,0.0,bottom
MX44,757.2375,-82.55,0.0,bottom
MX5,626.26875,-25.4,0.0,bottom
MX6,645.31875,-25.4,0.0,bottom
MX7,664.36875,-25.4,0.0,bottom
MX8,683.41875,-25.4,0.0,bottom
MX9,702.46875,-25.4,0.0,bottom
R1,763.349,-44.656,0.0,bottom
R10,618.363,-90.424,0.0,top
R11,618.363,-89.281,0.0,top
R12,661.924,-77.343,90.0,bottom
R3,671.343,-68.684,180.0,bottom
R4,667.279,-68.684,180.0,bottom
R5,662.963,-70.587,90.0,bottom
R6,669.313,-68.684,0.0,bottom
R7,650.866,-72.9455,0.0,bottom
R8,650.868,-71.6755,0.0,bottom
R9,618.363,-91.567,0.0,top
SW1,669.29,-90.496,0.0,bottom
SW2,662.432,-90.496,0.0,bottom
SW3,665.861,-90.496,0.0,bottom
SW4,767.286,-43.132,270.0,bottom
U2,666.119,-72.005,0.0,bottom
U3,671.183,-66.425,270.0,bottom
U4,651.759,-83.249,180.0,bottom
Y1,648.011,-72.412,0.0,bottom
